convo_id,final_state,final_profit
0,Customer buys,22
1,Customer leaves call,-66
2,Customer leaves call,-62
3,Customer leaves call,-62
4,Customer buys,26
5,Customer leaves call,-62
6,Customer leaves call,-62
7,Customer buys,34
8,Customer leaves call,-74
9,Customer buys,25
10,Customer leaves call,-62
11,Customer buys,33
12,Customer buys,4
13,Customer buys,38
14,Customer buys,0
15,Customer buys,26
16,Customer leaves call,-70
17,Customer leaves call,-66
18,Customer leaves call,-62
19,Customer leaves call,-74
20,Customer buys,33
21,Customer buys,29
22,Customer leaves call,-66
23,Customer buys,22
24,Customer buys,29
25,Customer leaves call,-70
26,Customer leaves call,-70
27,Customer leaves call,-62
28,Customer leaves call,-78
29,Customer buys,26
30,Customer leaves call,-62
31,Customer leaves call,-62
32,Customer leaves call,-62
33,Customer buys,18
34,Customer buys,34
35,Customer leaves call,-70
36,Customer leaves call,-62
37,Customer leaves call,-70
38,Customer buys,24
39,Customer buys,34
40,Customer leaves call,-62
41,Customer leaves call,-62
42,Customer buys,29
43,Customer leaves call,-62
44,Customer buys,30
45,Customer leaves call,-74
46,Customer buys,38
47,Customer leaves call,-70
48,Customer buys,38
49,Customer buys,34
50,Customer buys,26
51,Customer leaves call,-74
52,Customer leaves call,-70
53,Customer buys,25
54,Customer buys,30
55,Customer leaves call,-62
